code,address,state_cd
"ALC	","	ALCAN",AK
"ANC	","	ANCHORAGE",AK
"BAR	","	BAKER AAF - BAKER ISLAND",AK
"DAC	","	DALTONS CACHE",AK
"PIZ	","	DEW STATION PT LAY DEW",AK
"DTH	","	DUTCH HARBOR",AK
"EGL	","	EAGLE",AK
"FRB	","	FAIRBANKS",AK
"HOM	","	HOMER",AK
"HYD	","	HYDER",AK
"JUN	","	JUNEAU",AK
"5KE	","	KETCHIKAN",AK
"KET	","	KETCHIKAN",AK
"MOS	","	MOSES POINT INTERMEDIATE",AK
"NIK	","	NIKISKI",AK
"NOM	","	NOM",AK
"PKC	","	POKER CREEK",AK
"ORI	","	PORT LIONS SPB",AK
"SKA	","	SKAGWAY",AK
"SNP	","	ST. PAUL ISLAND",AK
"TKI	","	TOKEEN",AK
"WRA	","	WRANGELL",AK
"HSV	","	MADISON COUNTY - HUNTSVILLE",AL
"MOB	","	MOBILE",AL
"LIA	","	LITTLE ROCK",AR (BPS)
"ROG	","	ROGERS ARPT",AR
"DOU	","	DOUGLAS",AZ
"LUK	","	LUKEVILLE",AZ
"MAP	","	MARIPOSA AZ ",
"NAC	","	NACO",AZ
"NOG	","	NOGALES",AZ
"PHO	","	PHOENIX",AZ
"POR	","	PORTAL",AZ
"SLU	","	SAN LUIS",AZ
"SAS	","	SASABE",AZ
"TUC	","	TUCSON",AZ
"YUI	","	YUMA",AZ
"AND	","	ANDRADE",CA
"BUR	","	BURBANK",CA
"CAL	","	CALEXICO",CA
"CAO	","	CAMPO",CA
"FRE	","	FRESNO",CA
"ICP	","	IMPERIAL COUNTY",CA
"LNB	","	LONG BEACH",CA
"LOS	","	LOS ANGELES",CA
"BFL	","	MEADOWS FIELD - BAKERSFIELD",CA
"OAK	","	OAKLAND",CA
"ONT	","	ONTARIO",CA
"OTM	","	OTAY MESA",CA
"BLT	","	PACIFI  HWY. STATION",CA
"PSP	","	PALM SPRINGS",
"SAC	","	SACRAMENTO",
"SLS	","	SALINAS",
"SDP	","	SAN DIEGO",
"SFR	","	SAN FRANCISCO",
"SNJ	","	SAN JOSE",
"SLO	","	SAN LUIS OBISPO",
"SLI	","	SAN LUIS OBISPO",
"SPC	","	SAN PEDRO",
"SYS	","	SAN YSIDRO",
"SAA	","	SANTA ANA",
"STO	","	STOCKTON",
"TEC	","	TECATE",
"TRV	","	TRAVIS-AFB",
"APA	","	ARAPAHOE COUNTY",
"ASE	","	ASPEN",
"COS	","	COLORADO SPRINGS",
"DEN	","	DENVER",
"DRO	","	LA PLATA - DURANGO",
"BDL	","	BRADLEY INTERNATIONAL",
"BGC	","	BRIDGEPORT",
"GRT	","	GROTON",
"HAR	","	HARTFORD",
"NWH	","	NEW HAVEN",
"NWL	","	NEW LONDON",
"TST	","	NEWINGTON DATA CENTER TEST",
"WAS	","	WASHINGTON DC ",
"DOV	","	DOVER AFB",
"DVD	","	DOVER-AFB",
"WLL	","	WILMINGTON",
"BOC	","	BOCAGRANDE",
"SRQ	","	BRADENTON - SARASOTA",
"CAN	","	CAPE CANAVERAL",
"DAB	","	DAYTONA BEACH INTERNATIONAL",
"FRN	","	FERNANDINA",
"FTL	","	FORT LAUDERDALE",
"FMY	","	FORT MYERS",
"FPF	","	FORT PIERCE",
"HUR	","	HURLBURT FIELD",
"GNV	","	J R ALISON MUNI - GAINESVILLE",
"JAC	","	JACKSONVILLE",
"KEY	","	KEY WEST",
"LEE	","	LEESBURG MUNICIPAL AIRPORT",
"MLB	","	MELBOURNE",
"MIA	","	MIAMI",
"APF	","	NAPLES",
"OPF	","	OPA LOCKA",
"ORL	","	ORLANDO",
"PAN	","	PANAMA CITY",
"PEN	","	PENSACOLA",
"PCF	","	PORT CANAVERAL",
"PEV	","	PORT EVERGLADES",
"PSJ	","	PORT ST JOE",
"SFB	","	SANFORD",
"SGJ	","	ST AUGUSTINE ARPT",
"SAU	","	ST AUGUSTINE",
"FPR	","	ST LUCIE COUNTY",
"SPE	","	ST PETERSBURG",
"TAM	","	TAMPA",
"WPB	","	WEST PALM BEACH",
"ATL	","	ATLANTA",
"BRU	","	BRUNSWICK",
"AGS	","	BUSH FIELD - AUGUSTA",
"SAV	","	SAVANNAH",
"AGA	","	AGANA",
"HHW	","	HONOLULU",
"OGG	","	KAHULUI - MAUI",
"KOA	","	KEAHOLE-KONA",
"LIH	","	LIHUE",
"CID	","	CEDAR RAPIDS/IOWA CITY",
"DSM	","	DES MOINES",
